"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2021 22:00:00 - 02/01/2021 23:00:00","BZN|PL","Without Sequence","47.13","",""
"02/01/2021 23:00:00 - 03/01/2021 00:00:00","BZN|PL","Without Sequence","39.56","",""
"03/01/2021 00:00:00 - 03/01/2021 01:00:00","BZN|PL","Without Sequence","34.13","",""
"03/01/2021 01:00:00 - 03/01/2021 02:00:00","BZN|PL","Without Sequence","38.64","",""
"03/01/2021 02:00:00 - 03/01/2021 03:00:00","BZN|PL","Without Sequence","38.56","",""
"03/01/2021 03:00:00 - 03/01/2021 04:00:00","BZN|PL","Without Sequence","37.32","",""
"03/01/2021 04:00:00 - 03/01/2021 05:00:00","BZN|PL","Without Sequence","35.83","",""
"03/01/2021 05:00:00 - 03/01/2021 06:00:00","BZN|PL","Without Sequence","36.16","",""
"03/01/2021 06:00:00 - 03/01/2021 07:00:00","BZN|PL","Without Sequence","38.34","",""
"03/01/2021 07:00:00 - 03/01/2021 08:00:00","BZN|PL","Without Sequence","39.32","",""
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|PL","Without Sequence","39.12","",""
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|PL","Without Sequence","38.64","",""
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|PL","Without Sequence","36.64","",""
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|PL","Without Sequence","36.73","",""
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|PL","Without Sequence","36.83","",""
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|PL","Without Sequence","36.31","",""
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|PL","Without Sequence","35.55","",""
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|PL","Without Sequence","36.76","",""
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|PL","Without Sequence","43.33","",""
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|PL","Without Sequence","44.45","",""
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|PL","Without Sequence","43.35","",""
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|PL","Without Sequence","42.45","",""
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|PL","Without Sequence","36.95","",""
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|PL","Without Sequence","34.79","",""
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|PL","Without Sequence","38.70","",""
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|PL","Without Sequence","36.85","",""
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|PL","Without Sequence","38.97","",""
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|PL","Without Sequence","37.29","",""
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|PL","Without Sequence","36.63","",""
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|PL","Without Sequence","36.11","",""
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|PL","Without Sequence","38.72","",""
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|PL","Without Sequence","39.24","",""
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|PL","Without Sequence","42.86","",""
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|PL","Without Sequence","49.76","",""
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|PL","Without Sequence","54.42","",""
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|PL","Without Sequence","57.37","",""
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|PL","Without Sequence","57.39","",""
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|PL","Without Sequence","58.27","",""
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|PL","Without Sequence","57.52","",""
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|PL","Without Sequence","57.48","",""
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|PL","Without Sequence","57.99","",""
"04/01/2021 15:00:00 - 04/01/2021 16:00:00","BZN|PL","Without Sequence","58.03","",""
"04/01/2021 16:00:00 - 04/01/2021 17:00:00","BZN|PL","Without Sequence","60.50","",""
"04/01/2021 17:00:00 - 04/01/2021 18:00:00","BZN|PL","Without Sequence","65.22","",""
"04/01/2021 18:00:00 - 04/01/2021 19:00:00","BZN|PL","Without Sequence","60.05","",""
"04/01/2021 19:00:00 - 04/01/2021 20:00:00","BZN|PL","Without Sequence","57.40","",""
"04/01/2021 20:00:00 - 04/01/2021 21:00:00","BZN|PL","Without Sequence","58.26","",""
"04/01/2021 21:00:00 - 04/01/2021 22:00:00","BZN|PL","Without Sequence","47.88","",""
"04/01/2021 22:00:00 - 04/01/2021 23:00:00","BZN|PL","Without Sequence","46.08","",""
"04/01/2021 23:00:00 - 05/01/2021 00:00:00","BZN|PL","Without Sequence","40.59","",""
"05/01/2021 00:00:00 - 05/01/2021 01:00:00","BZN|PL","Without Sequence","48.93","",""
"05/01/2021 01:00:00 - 05/01/2021 02:00:00","BZN|PL","Without Sequence","45.13","",""
"05/01/2021 02:00:00 - 05/01/2021 03:00:00","BZN|PL","Without Sequence","42.19","",""
"05/01/2021 03:00:00 - 05/01/2021 04:00:00","BZN|PL","Without Sequence","42.19","",""
"05/01/2021 04:00:00 - 05/01/2021 05:00:00","BZN|PL","Without Sequence","41.26","",""
"05/01/2021 05:00:00 - 05/01/2021 06:00:00","BZN|PL","Without Sequence","44.75","",""
"05/01/2021 06:00:00 - 05/01/2021 07:00:00","BZN|PL","Without Sequence","46.17","",""
"05/01/2021 07:00:00 - 05/01/2021 08:00:00","BZN|PL","Without Sequence","59.53","",""
"05/01/2021 08:00:00 - 05/01/2021 09:00:00","BZN|PL","Without Sequence","60.00","",""
"05/01/2021 09:00:00 - 05/01/2021 10:00:00","BZN|PL","Without Sequence","60.12","",""
"05/01/2021 10:00:00 - 05/01/2021 11:00:00","BZN|PL","Without Sequence","61.18","",""
"05/01/2021 11:00:00 - 05/01/2021 12:00:00","BZN|PL","Without Sequence","62.46","",""
"05/01/2021 12:00:00 - 05/01/2021 13:00:00","BZN|PL","Without Sequence","61.48","",""
"05/01/2021 13:00:00 - 05/01/2021 14:00:00","BZN|PL","Without Sequence","62.29","",""
"05/01/2021 14:00:00 - 05/01/2021 15:00:00","BZN|PL","Without Sequence","62.04","",""
"05/01/2021 15:00:00 - 05/01/2021 16:00:00","BZN|PL","Without Sequence","62.51","",""
"05/01/2021 16:00:00 - 05/01/2021 17:00:00","BZN|PL","Without Sequence","64.26","",""
"05/01/2021 17:00:00 - 05/01/2021 18:00:00","BZN|PL","Without Sequence","65.60","",""
"05/01/2021 18:00:00 - 05/01/2021 19:00:00","BZN|PL","Without Sequence","60.13","",""
"05/01/2021 19:00:00 - 05/01/2021 20:00:00","BZN|PL","Without Sequence","59.23","",""
"05/01/2021 20:00:00 - 05/01/2021 21:00:00","BZN|PL","Without Sequence","52.74","",""
"05/01/2021 21:00:00 - 05/01/2021 22:00:00","BZN|PL","Without Sequence","48.94","",""
"05/01/2021 22:00:00 - 05/01/2021 23:00:00","BZN|PL","Without Sequence","49.14","",""
"05/01/2021 23:00:00 - 06/01/2021 00:00:00","BZN|PL","Without Sequence","48.41","",""
"06/01/2021 00:00:00 - 06/01/2021 01:00:00","BZN|PL","Without Sequence","41.80","",""
"06/01/2021 01:00:00 - 06/01/2021 02:00:00","BZN|PL","Without Sequence","39.76","",""
"06/01/2021 02:00:00 - 06/01/2021 03:00:00","BZN|PL","Without Sequence","39.85","",""
"06/01/2021 03:00:00 - 06/01/2021 04:00:00","BZN|PL","Without Sequence","39.85","",""
"06/01/2021 04:00:00 - 06/01/2021 05:00:00","BZN|PL","Without Sequence","39.85","",""
"06/01/2021 05:00:00 - 06/01/2021 06:00:00","BZN|PL","Without Sequence","39.85","",""
"06/01/2021 06:00:00 - 06/01/2021 07:00:00","BZN|PL","Without Sequence","40.67","",""
"06/01/2021 07:00:00 - 06/01/2021 08:00:00","BZN|PL","Without Sequence","45.11","",""
"06/01/2021 08:00:00 - 06/01/2021 09:00:00","BZN|PL","Without Sequence","47.26","",""
"06/01/2021 09:00:00 - 06/01/2021 10:00:00","BZN|PL","Without Sequence","47.26","",""
"06/01/2021 10:00:00 - 06/01/2021 11:00:00","BZN|PL","Without Sequence","50.66","",""
"06/01/2021 11:00:00 - 06/01/2021 12:00:00","BZN|PL","Without Sequence","47.26","",""
"06/01/2021 12:00:00 - 06/01/2021 13:00:00","BZN|PL","Without Sequence","53.01","",""
"06/01/2021 13:00:00 - 06/01/2021 14:00:00","BZN|PL","Without Sequence","50.70","",""
"06/01/2021 14:00:00 - 06/01/2021 15:00:00","BZN|PL","Without Sequence","51.31","",""
"06/01/2021 15:00:00 - 06/01/2021 16:00:00","BZN|PL","Without Sequence","54.90","",""
"06/01/2021 16:00:00 - 06/01/2021 17:00:00","BZN|PL","Without Sequence","58.40","",""
"06/01/2021 17:00:00 - 06/01/2021 18:00:00","BZN|PL","Without Sequence","59.93","",""
"06/01/2021 18:00:00 - 06/01/2021 19:00:00","BZN|PL","Without Sequence","57.96","",""
"06/01/2021 19:00:00 - 06/01/2021 20:00:00","BZN|PL","Without Sequence","58.53","",""
"06/01/2021 20:00:00 - 06/01/2021 21:00:00","BZN|PL","Without Sequence","57.15","",""
"06/01/2021 21:00:00 - 06/01/2021 22:00:00","BZN|PL","Without Sequence","50.32","",""
"06/01/2021 22:00:00 - 06/01/2021 23:00:00","BZN|PL","Without Sequence","45.38","",""
"06/01/2021 23:00:00 - 07/01/2021 00:00:00","BZN|PL","Without Sequence","45.29","",""
"07/01/2021 00:00:00 - 07/01/2021 01:00:00","BZN|PL","Without Sequence","43.69","",""
"07/01/2021 01:00:00 - 07/01/2021 02:00:00","BZN|PL","Without Sequence","42.65","",""
"07/01/2021 02:00:00 - 07/01/2021 03:00:00","BZN|PL","Without Sequence","43.95","",""
"07/01/2021 03:00:00 - 07/01/2021 04:00:00","BZN|PL","Without Sequence","42.53","",""
"07/01/2021 04:00:00 - 07/01/2021 05:00:00","BZN|PL","Without Sequence","43.81","",""
"07/01/2021 05:00:00 - 07/01/2021 06:00:00","BZN|PL","Without Sequence","45.94","",""
"07/01/2021 06:00:00 - 07/01/2021 07:00:00","BZN|PL","Without Sequence","59.49","",""
"07/01/2021 07:00:00 - 07/01/2021 08:00:00","BZN|PL","Without Sequence","65.45","",""
"07/01/2021 08:00:00 - 07/01/2021 09:00:00","BZN|PL","Without Sequence","71.84","",""
"07/01/2021 09:00:00 - 07/01/2021 10:00:00","BZN|PL","Without Sequence","74.91","",""
"07/01/2021 10:00:00 - 07/01/2021 11:00:00","BZN|PL","Without Sequence","75.71","",""
"07/01/2021 11:00:00 - 07/01/2021 12:00:00","BZN|PL","Without Sequence","80.98","",""
"07/01/2021 12:00:00 - 07/01/2021 13:00:00","BZN|PL","Without Sequence","77.76","",""
"07/01/2021 13:00:00 - 07/01/2021 14:00:00","BZN|PL","Without Sequence","79.46","",""
"07/01/2021 14:00:00 - 07/01/2021 15:00:00","BZN|PL","Without Sequence","77.67","",""
"07/01/2021 15:00:00 - 07/01/2021 16:00:00","BZN|PL","Without Sequence","81.29","",""
"07/01/2021 16:00:00 - 07/01/2021 17:00:00","BZN|PL","Without Sequence","89.68","",""
"07/01/2021 17:00:00 - 07/01/2021 18:00:00","BZN|PL","Without Sequence","94.20","",""
"07/01/2021 18:00:00 - 07/01/2021 19:00:00","BZN|PL","Without Sequence","84.62","",""
"07/01/2021 19:00:00 - 07/01/2021 20:00:00","BZN|PL","Without Sequence","77.79","",""
"07/01/2021 20:00:00 - 07/01/2021 21:00:00","BZN|PL","Without Sequence","65.20","",""
"07/01/2021 21:00:00 - 07/01/2021 22:00:00","BZN|PL","Without Sequence","59.33","",""
"07/01/2021 22:00:00 - 07/01/2021 23:00:00","BZN|PL","Without Sequence","58.26","",""
"07/01/2021 23:00:00 - 08/01/2021 00:00:00","BZN|PL","Without Sequence","50.99","",""
"08/01/2021 00:00:00 - 08/01/2021 01:00:00","BZN|PL","Without Sequence","49.31","",""
"08/01/2021 01:00:00 - 08/01/2021 02:00:00","BZN|PL","Without Sequence","47.38","",""
"08/01/2021 02:00:00 - 08/01/2021 03:00:00","BZN|PL","Without Sequence","45.78","",""
"08/01/2021 03:00:00 - 08/01/2021 04:00:00","BZN|PL","Without Sequence","44.51","",""
"08/01/2021 04:00:00 - 08/01/2021 05:00:00","BZN|PL","Without Sequence","46.23","",""
"08/01/2021 05:00:00 - 08/01/2021 06:00:00","BZN|PL","Without Sequence","50.33","",""
"08/01/2021 06:00:00 - 08/01/2021 07:00:00","BZN|PL","Without Sequence","59.71","",""
"08/01/2021 07:00:00 - 08/01/2021 08:00:00","BZN|PL","Without Sequence","63.68","",""
"08/01/2021 08:00:00 - 08/01/2021 09:00:00","BZN|PL","Without Sequence","64.46","",""
"08/01/2021 09:00:00 - 08/01/2021 10:00:00","BZN|PL","Without Sequence","64.80","",""
"08/01/2021 10:00:00 - 08/01/2021 11:00:00","BZN|PL","Without Sequence","62.39","",""
"08/01/2021 11:00:00 - 08/01/2021 12:00:00","BZN|PL","Without Sequence","64.31","",""
"08/01/2021 12:00:00 - 08/01/2021 13:00:00","BZN|PL","Without Sequence","65.88","",""
"08/01/2021 13:00:00 - 08/01/2021 14:00:00","BZN|PL","Without Sequence","67.37","",""
"08/01/2021 14:00:00 - 08/01/2021 15:00:00","BZN|PL","Without Sequence","64.77","",""
"08/01/2021 15:00:00 - 08/01/2021 16:00:00","BZN|PL","Without Sequence","63.79","",""
"08/01/2021 16:00:00 - 08/01/2021 17:00:00","BZN|PL","Without Sequence","64.54","",""
"08/01/2021 17:00:00 - 08/01/2021 18:00:00","BZN|PL","Without Sequence","63.18","",""
"08/01/2021 18:00:00 - 08/01/2021 19:00:00","BZN|PL","Without Sequence","62.77","",""
"08/01/2021 19:00:00 - 08/01/2021 20:00:00","BZN|PL","Without Sequence","62.16","",""
"08/01/2021 20:00:00 - 08/01/2021 21:00:00","BZN|PL","Without Sequence","61.48","",""
"08/01/2021 21:00:00 - 08/01/2021 22:00:00","BZN|PL","Without Sequence","59.43","",""
"08/01/2021 22:00:00 - 08/01/2021 23:00:00","BZN|PL","Without Sequence","56.22","",""
"08/01/2021 23:00:00 - 09/01/2021 00:00:00","BZN|PL","Without Sequence","50.48","",""
"09/01/2021 00:00:00 - 09/01/2021 01:00:00","BZN|PL","Without Sequence","47.58","",""
"09/01/2021 01:00:00 - 09/01/2021 02:00:00","BZN|PL","Without Sequence","49.63","",""
"09/01/2021 02:00:00 - 09/01/2021 03:00:00","BZN|PL","Without Sequence","49.58","",""
"09/01/2021 03:00:00 - 09/01/2021 04:00:00","BZN|PL","Without Sequence","48.69","",""
"09/01/2021 04:00:00 - 09/01/2021 05:00:00","BZN|PL","Without Sequence","48.69","",""
"09/01/2021 05:00:00 - 09/01/2021 06:00:00","BZN|PL","Without Sequence","49.59","",""
"09/01/2021 06:00:00 - 09/01/2021 07:00:00","BZN|PL","Without Sequence","48.26","",""
"09/01/2021 07:00:00 - 09/01/2021 08:00:00","BZN|PL","Without Sequence","52.16","",""
"09/01/2021 08:00:00 - 09/01/2021 09:00:00","BZN|PL","Without Sequence","58.36","",""
"09/01/2021 09:00:00 - 09/01/2021 10:00:00","BZN|PL","Without Sequence","64.68","",""
"09/01/2021 10:00:00 - 09/01/2021 11:00:00","BZN|PL","Without Sequence","65.61","",""
"09/01/2021 11:00:00 - 09/01/2021 12:00:00","BZN|PL","Without Sequence","65.89","",""
"09/01/2021 12:00:00 - 09/01/2021 13:00:00","BZN|PL","Without Sequence","65.22","",""
"09/01/2021 13:00:00 - 09/01/2021 14:00:00","BZN|PL","Without Sequence","61.03","",""
"09/01/2021 14:00:00 - 09/01/2021 15:00:00","BZN|PL","Without Sequence","59.75","",""
"09/01/2021 15:00:00 - 09/01/2021 16:00:00","BZN|PL","Without Sequence","60.00","",""
"09/01/2021 16:00:00 - 09/01/2021 17:00:00","BZN|PL","Without Sequence","62.78","",""
"09/01/2021 17:00:00 - 09/01/2021 18:00:00","BZN|PL","Without Sequence","69.92","",""
"09/01/2021 18:00:00 - 09/01/2021 19:00:00","BZN|PL","Without Sequence","70.26","",""
"09/01/2021 19:00:00 - 09/01/2021 20:00:00","BZN|PL","Without Sequence","67.30","",""
"09/01/2021 20:00:00 - 09/01/2021 21:00:00","BZN|PL","Without Sequence","61.16","",""
"09/01/2021 21:00:00 - 09/01/2021 22:00:00","BZN|PL","Without Sequence","60.03","",""
"09/01/2021 22:00:00 - 09/01/2021 23:00:00","BZN|PL","Without Sequence","55.80","",""
"09/01/2021 23:00:00 - 10/01/2021 00:00:00","BZN|PL","Without Sequence","49.69","",""
"10/01/2021 00:00:00 - 10/01/2021 01:00:00","BZN|PL","Without Sequence","43.11","",""
"10/01/2021 01:00:00 - 10/01/2021 02:00:00","BZN|PL","Without Sequence","45.66","",""
"10/01/2021 02:00:00 - 10/01/2021 03:00:00","BZN|PL","Without Sequence","41.55","",""
"10/01/2021 03:00:00 - 10/01/2021 04:00:00","BZN|PL","Without Sequence","40.96","",""
"10/01/2021 04:00:00 - 10/01/2021 05:00:00","BZN|PL","Without Sequence","41.45","",""
"10/01/2021 05:00:00 - 10/01/2021 06:00:00","BZN|PL","Without Sequence","44.88","",""
"10/01/2021 06:00:00 - 10/01/2021 07:00:00","BZN|PL","Without Sequence","37.94","",""
"10/01/2021 07:00:00 - 10/01/2021 08:00:00","BZN|PL","Without Sequence","37.70","",""
"10/01/2021 08:00:00 - 10/01/2021 09:00:00","BZN|PL","Without Sequence","39.10","",""
"10/01/2021 09:00:00 - 10/01/2021 10:00:00","BZN|PL","Without Sequence","41.47","",""
"10/01/2021 10:00:00 - 10/01/2021 11:00:00","BZN|PL","Without Sequence","44.44","",""
"10/01/2021 11:00:00 - 10/01/2021 12:00:00","BZN|PL","Without Sequence","46.24","",""
"10/01/2021 12:00:00 - 10/01/2021 13:00:00","BZN|PL","Without Sequence","45.81","",""
"10/01/2021 13:00:00 - 10/01/2021 14:00:00","BZN|PL","Without Sequence","48.68","",""
"10/01/2021 14:00:00 - 10/01/2021 15:00:00","BZN|PL","Without Sequence","45.45","",""
"10/01/2021 15:00:00 - 10/01/2021 16:00:00","BZN|PL","Without Sequence","48.03","",""
"10/01/2021 16:00:00 - 10/01/2021 17:00:00","BZN|PL","Without Sequence","55.17","",""
"10/01/2021 17:00:00 - 10/01/2021 18:00:00","BZN|PL","Without Sequence","59.67","",""
"10/01/2021 18:00:00 - 10/01/2021 19:00:00","BZN|PL","Without Sequence","56.58","",""
"10/01/2021 19:00:00 - 10/01/2021 20:00:00","BZN|PL","Without Sequence","55.04","",""
"10/01/2021 20:00:00 - 10/01/2021 21:00:00","BZN|PL","Without Sequence","48.05","",""
"10/01/2021 21:00:00 - 10/01/2021 22:00:00","BZN|PL","Without Sequence","44.49","",""
"10/01/2021 22:00:00 - 10/01/2021 23:00:00","BZN|PL","Without Sequence","44.44","",""
"10/01/2021 23:00:00 - 11/01/2021 00:00:00","BZN|PL","Without Sequence","43.82","",""
"11/01/2021 00:00:00 - 11/01/2021 01:00:00","BZN|PL","Without Sequence","41.52","",""
"11/01/2021 01:00:00 - 11/01/2021 02:00:00","BZN|PL","Without Sequence","41.37","",""
"11/01/2021 02:00:00 - 11/01/2021 03:00:00","BZN|PL","Without Sequence","41.42","",""
"11/01/2021 03:00:00 - 11/01/2021 04:00:00","BZN|PL","Without Sequence","41.50","",""
"11/01/2021 04:00:00 - 11/01/2021 05:00:00","BZN|PL","Without Sequence","40.97","",""
"11/01/2021 05:00:00 - 11/01/2021 06:00:00","BZN|PL","Without Sequence","44.33","",""
"11/01/2021 06:00:00 - 11/01/2021 07:00:00","BZN|PL","Without Sequence","54.80","",""
"11/01/2021 07:00:00 - 11/01/2021 08:00:00","BZN|PL","Without Sequence","60.24","",""
"11/01/2021 08:00:00 - 11/01/2021 09:00:00","BZN|PL","Without Sequence","60.42","",""
"11/01/2021 09:00:00 - 11/01/2021 10:00:00","BZN|PL","Without Sequence","62.36","",""
"11/01/2021 10:00:00 - 11/01/2021 11:00:00","BZN|PL","Without Sequence","62.06","",""
"11/01/2021 11:00:00 - 11/01/2021 12:00:00","BZN|PL","Without Sequence","65.51","",""
"11/01/2021 12:00:00 - 11/01/2021 13:00:00","BZN|PL","Without Sequence","65.50","",""
"11/01/2021 13:00:00 - 11/01/2021 14:00:00","BZN|PL","Without Sequence","65.13","",""
"11/01/2021 14:00:00 - 11/01/2021 15:00:00","BZN|PL","Without Sequence","62.27","",""
"11/01/2021 15:00:00 - 11/01/2021 16:00:00","BZN|PL","Without Sequence","62.14","",""
"11/01/2021 16:00:00 - 11/01/2021 17:00:00","BZN|PL","Without Sequence","60.56","",""
"11/01/2021 17:00:00 - 11/01/2021 18:00:00","BZN|PL","Without Sequence","60.43","",""
"11/01/2021 18:00:00 - 11/01/2021 19:00:00","BZN|PL","Without Sequence","60.25","",""
"11/01/2021 19:00:00 - 11/01/2021 20:00:00","BZN|PL","Without Sequence","60.20","",""
"11/01/2021 20:00:00 - 11/01/2021 21:00:00","BZN|PL","Without Sequence","49.55","",""
"11/01/2021 21:00:00 - 11/01/2021 22:00:00","BZN|PL","Without Sequence","44.40","",""
"11/01/2021 22:00:00 - 11/01/2021 23:00:00","BZN|PL","Without Sequence","50.85","",""
"11/01/2021 23:00:00 - 12/01/2021 00:00:00","BZN|PL","Without Sequence","45.65","",""
"12/01/2021 00:00:00 - 12/01/2021 01:00:00","BZN|PL","Without Sequence","41.35","",""
"12/01/2021 01:00:00 - 12/01/2021 02:00:00","BZN|PL","Without Sequence","37.51","",""
"12/01/2021 02:00:00 - 12/01/2021 03:00:00","BZN|PL","Without Sequence","37.50","",""
"12/01/2021 03:00:00 - 12/01/2021 04:00:00","BZN|PL","Without Sequence","37.51","",""
"12/01/2021 04:00:00 - 12/01/2021 05:00:00","BZN|PL","Without Sequence","38.19","",""
"12/01/2021 05:00:00 - 12/01/2021 06:00:00","BZN|PL","Without Sequence","45.45","",""
"12/01/2021 06:00:00 - 12/01/2021 07:00:00","BZN|PL","Without Sequence","49.52","",""
"12/01/2021 07:00:00 - 12/01/2021 08:00:00","BZN|PL","Without Sequence","54.51","",""
"12/01/2021 08:00:00 - 12/01/2021 09:00:00","BZN|PL","Without Sequence","60.64","",""
"12/01/2021 09:00:00 - 12/01/2021 10:00:00","BZN|PL","Without Sequence","57.49","",""
"12/01/2021 10:00:00 - 12/01/2021 11:00:00","BZN|PL","Without Sequence","60.04","",""
"12/01/2021 11:00:00 - 12/01/2021 12:00:00","BZN|PL","Without Sequence","60.41","",""
"12/01/2021 12:00:00 - 12/01/2021 13:00:00","BZN|PL","Without Sequence","60.43","",""
