"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|PL","Without Sequence","34.18","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|PL","Without Sequence","32.61","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|PL","Without Sequence","32.58","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|PL","Without Sequence","32.20","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|PL","Without Sequence","29.16","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|PL","Without Sequence","28.46","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|PL","Without Sequence","28.11","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|PL","Without Sequence","28.46","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|PL","Without Sequence","28.46","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|PL","Without Sequence","30.62","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|PL","Without Sequence","32.49","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|PL","Without Sequence","37.14","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|PL","Without Sequence","39.05","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|PL","Without Sequence","40.59","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|PL","Without Sequence","40.79","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|PL","Without Sequence","45.47","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|PL","Without Sequence","51.72","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|PL","Without Sequence","55.39","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|PL","Without Sequence","53.01","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|PL","Without Sequence","55.74","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|PL","Without Sequence","54.94","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|PL","Without Sequence","50.82","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|PL","Without Sequence","45.22","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|PL","Without Sequence","35.81","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|PL","Without Sequence","39.30","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|PL","Without Sequence","39.37","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|PL","Without Sequence","38.68","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|PL","Without Sequence","37.10","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|PL","Without Sequence","37.83","",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|PL","Without Sequence","38.53","",""
"02/01/2021 06:00:00 - 02/01/2021 07:00:00","BZN|PL","Without Sequence","38.95","",""
"02/01/2021 07:00:00 - 02/01/2021 08:00:00","BZN|PL","Without Sequence","44.31","",""
"02/01/2021 08:00:00 - 02/01/2021 09:00:00","BZN|PL","Without Sequence","43.30","",""
"02/01/2021 09:00:00 - 02/01/2021 10:00:00","BZN|PL","Without Sequence","47.85","",""
"02/01/2021 10:00:00 - 02/01/2021 11:00:00","BZN|PL","Without Sequence","50.75","",""
"02/01/2021 11:00:00 - 02/01/2021 12:00:00","BZN|PL","Without Sequence","50.90","",""
"02/01/2021 12:00:00 - 02/01/2021 13:00:00","BZN|PL","Without Sequence","53.75","",""
"02/01/2021 13:00:00 - 02/01/2021 14:00:00","BZN|PL","Without Sequence","50.75","",""
"02/01/2021 14:00:00 - 02/01/2021 15:00:00","BZN|PL","Without Sequence","49.48","",""
"02/01/2021 15:00:00 - 02/01/2021 16:00:00","BZN|PL","Without Sequence","52.16","",""
"02/01/2021 16:00:00 - 02/01/2021 17:00:00","BZN|PL","Without Sequence","58.88","",""
"02/01/2021 17:00:00 - 02/01/2021 18:00:00","BZN|PL","Without Sequence","60.51","",""
"02/01/2021 18:00:00 - 02/01/2021 19:00:00","BZN|PL","Without Sequence","61.56","",""
"02/01/2021 19:00:00 - 02/01/2021 20:00:00","BZN|PL","Without Sequence","56.17","",""
"02/01/2021 20:00:00 - 02/01/2021 21:00:00","BZN|PL","Without Sequence","55.01","",""
"02/01/2021 21:00:00 - 02/01/2021 22:00:00","BZN|PL","Without Sequence","52.60","",""
