"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2020 06:00:00 - 03/01/2020 07:00:00","BZN|PL","Without Sequence","36.59","",""
"03/01/2020 07:00:00 - 03/01/2020 08:00:00","BZN|PL","Without Sequence","38.89","",""
"03/01/2020 08:00:00 - 03/01/2020 09:00:00","BZN|PL","Without Sequence","40.45","",""
"03/01/2020 09:00:00 - 03/01/2020 10:00:00","BZN|PL","Without Sequence","41.86","",""
"03/01/2020 10:00:00 - 03/01/2020 11:00:00","BZN|PL","Without Sequence","40.97","",""
"03/01/2020 11:00:00 - 03/01/2020 12:00:00","BZN|PL","Without Sequence","41.88","",""
"03/01/2020 12:00:00 - 03/01/2020 13:00:00","BZN|PL","Without Sequence","41.33","",""
"03/01/2020 13:00:00 - 03/01/2020 14:00:00","BZN|PL","Without Sequence","41.87","",""
"03/01/2020 14:00:00 - 03/01/2020 15:00:00","BZN|PL","Without Sequence","40.95","",""
"03/01/2020 15:00:00 - 03/01/2020 16:00:00","BZN|PL","Without Sequence","40.39","",""
"03/01/2020 16:00:00 - 03/01/2020 17:00:00","BZN|PL","Without Sequence","42.40","",""
"03/01/2020 17:00:00 - 03/01/2020 18:00:00","BZN|PL","Without Sequence","42.29","",""
"03/01/2020 18:00:00 - 03/01/2020 19:00:00","BZN|PL","Without Sequence","41.17","",""
"03/01/2020 19:00:00 - 03/01/2020 20:00:00","BZN|PL","Without Sequence","40.92","",""
"03/01/2020 20:00:00 - 03/01/2020 21:00:00","BZN|PL","Without Sequence","37.32","",""
"03/01/2020 21:00:00 - 03/01/2020 22:00:00","BZN|PL","Without Sequence","27.03","",""
"03/01/2020 22:00:00 - 03/01/2020 23:00:00","BZN|PL","Without Sequence","33.91","",""
"03/01/2020 23:00:00 - 04/01/2020 00:00:00","BZN|PL","Without Sequence","30.29","",""
"04/01/2020 00:00:00 - 04/01/2020 01:00:00","BZN|PL","Without Sequence","35.28","",""
"04/01/2020 01:00:00 - 04/01/2020 02:00:00","BZN|PL","Without Sequence","30.77","",""
"04/01/2020 02:00:00 - 04/01/2020 03:00:00","BZN|PL","Without Sequence","25.23","",""
"04/01/2020 03:00:00 - 04/01/2020 04:00:00","BZN|PL","Without Sequence","24.72","",""
"04/01/2020 04:00:00 - 04/01/2020 05:00:00","BZN|PL","Without Sequence","24.72","",""
"04/01/2020 05:00:00 - 04/01/2020 06:00:00","BZN|PL","Without Sequence","25.08","",""
"04/01/2020 06:00:00 - 04/01/2020 07:00:00","BZN|PL","Without Sequence","34.09","",""
"04/01/2020 07:00:00 - 04/01/2020 08:00:00","BZN|PL","Without Sequence","38.53","",""
"04/01/2020 08:00:00 - 04/01/2020 09:00:00","BZN|PL","Without Sequence","41.24","",""
"04/01/2020 09:00:00 - 04/01/2020 10:00:00","BZN|PL","Without Sequence","41.22","",""
"04/01/2020 10:00:00 - 04/01/2020 11:00:00","BZN|PL","Without Sequence","39.61","",""
"04/01/2020 11:00:00 - 04/01/2020 12:00:00","BZN|PL","Without Sequence","40.51","",""
"04/01/2020 12:00:00 - 04/01/2020 13:00:00","BZN|PL","Without Sequence","39.92","",""
"04/01/2020 13:00:00 - 04/01/2020 14:00:00","BZN|PL","Without Sequence","40.38","",""
"04/01/2020 14:00:00 - 04/01/2020 15:00:00","BZN|PL","Without Sequence","42.01","",""
"04/01/2020 15:00:00 - 04/01/2020 16:00:00","BZN|PL","Without Sequence","43.14","",""
"04/01/2020 16:00:00 - 04/01/2020 17:00:00","BZN|PL","Without Sequence","41.10","",""
"04/01/2020 17:00:00 - 04/01/2020 18:00:00","BZN|PL","Without Sequence","38.00","",""
"04/01/2020 18:00:00 - 04/01/2020 19:00:00","BZN|PL","Without Sequence","37.96","",""
"04/01/2020 19:00:00 - 04/01/2020 20:00:00","BZN|PL","Without Sequence","37.86","",""
"04/01/2020 20:00:00 - 04/01/2020 21:00:00","BZN|PL","Without Sequence","38.27","",""
"04/01/2020 21:00:00 - 04/01/2020 22:00:00","BZN|PL","Without Sequence","38.74","",""
"04/01/2020 22:00:00 - 04/01/2020 23:00:00","BZN|PL","Without Sequence","39.98","",""
"04/01/2020 23:00:00 - 05/01/2020 00:00:00","BZN|PL","Without Sequence","33.04","",""
"05/01/2020 00:00:00 - 05/01/2020 01:00:00","BZN|PL","Without Sequence","29.66","",""
"05/01/2020 01:00:00 - 05/01/2020 02:00:00","BZN|PL","Without Sequence","27.86","",""
"05/01/2020 02:00:00 - 05/01/2020 03:00:00","BZN|PL","Without Sequence","27.11","",""
"05/01/2020 03:00:00 - 05/01/2020 04:00:00","BZN|PL","Without Sequence","27.42","",""
"05/01/2020 04:00:00 - 05/01/2020 05:00:00","BZN|PL","Without Sequence","28.06","",""
"05/01/2020 05:00:00 - 05/01/2020 06:00:00","BZN|PL","Without Sequence","28.85","",""
"05/01/2020 06:00:00 - 05/01/2020 07:00:00","BZN|PL","Without Sequence","29.26","",""
"05/01/2020 07:00:00 - 05/01/2020 08:00:00","BZN|PL","Without Sequence","32.60","",""
"05/01/2020 08:00:00 - 05/01/2020 09:00:00","BZN|PL","Without Sequence","33.85","",""
"05/01/2020 09:00:00 - 05/01/2020 10:00:00","BZN|PL","Without Sequence","37.13","",""
"05/01/2020 10:00:00 - 05/01/2020 11:00:00","BZN|PL","Without Sequence","37.89","",""
"05/01/2020 11:00:00 - 05/01/2020 12:00:00","BZN|PL","Without Sequence","37.14","",""
"05/01/2020 12:00:00 - 05/01/2020 13:00:00","BZN|PL","Without Sequence","37.71","",""
"05/01/2020 13:00:00 - 05/01/2020 14:00:00","BZN|PL","Without Sequence","37.81","",""
"05/01/2020 14:00:00 - 05/01/2020 15:00:00","BZN|PL","Without Sequence","37.73","",""
"05/01/2020 15:00:00 - 05/01/2020 16:00:00","BZN|PL","Without Sequence","37.69","",""
"05/01/2020 16:00:00 - 05/01/2020 17:00:00","BZN|PL","Without Sequence","39.83","",""
"05/01/2020 17:00:00 - 05/01/2020 18:00:00","BZN|PL","Without Sequence","40.07","",""
"05/01/2020 18:00:00 - 05/01/2020 19:00:00","BZN|PL","Without Sequence","40.05","",""
"05/01/2020 19:00:00 - 05/01/2020 20:00:00","BZN|PL","Without Sequence","42.33","",""
"05/01/2020 20:00:00 - 05/01/2020 21:00:00","BZN|PL","Without Sequence","37.75","",""
"05/01/2020 21:00:00 - 05/01/2020 22:00:00","BZN|PL","Without Sequence","37.63","",""
"05/01/2020 22:00:00 - 05/01/2020 23:00:00","BZN|PL","Without Sequence","33.06","",""
"05/01/2020 23:00:00 - 06/01/2020 00:00:00","BZN|PL","Without Sequence","31.34","",""
"06/01/2020 00:00:00 - 06/01/2020 01:00:00","BZN|PL","Without Sequence","32.01","",""
"06/01/2020 01:00:00 - 06/01/2020 02:00:00","BZN|PL","Without Sequence","31.35","",""
"06/01/2020 02:00:00 - 06/01/2020 03:00:00","BZN|PL","Without Sequence","28.50","",""
"06/01/2020 03:00:00 - 06/01/2020 04:00:00","BZN|PL","Without Sequence","27.18","",""
"06/01/2020 04:00:00 - 06/01/2020 05:00:00","BZN|PL","Without Sequence","27.37","",""
"06/01/2020 05:00:00 - 06/01/2020 06:00:00","BZN|PL","Without Sequence","31.50","",""
